메뉴이름,메뉴경로,메뉴URL
뮤지엄산,원주시 관광포털 > 추천 > 뮤지엄산,www.wonju.go.kr/tour/contents.do?key=4070
제1경 구룡사,원주시 관광포털 > 추천 > 원주8경 > 제1경 구룡사,www.wonju.go.kr/tour/contents.do?key=4080
제2경 강원감영,원주시 관광포털 > 추천 > 원주8경 > 제2경 강원감영,www.wonju.go.kr/tour/contents.do?key=4081
제3경 상원사,원주시 관광포털 > 추천 > 원주8경 > 제3경 상원사,www.wonju.go.kr/tour/contents.do?key=4082
제4경 비로봉,원주시 관광포털 > 추천 > 원주8경 > 제4경 비로봉,www.wonju.go.kr/tour/contents.do?key=4083
제5경 간현관광지,원주시 관광포털 > 추천 > 원주8경 > 제5경 간현관광지,www.wonju.go.kr/tour/contents.do?key=4084
제6경 영원산성,원주시 관광포털 > 추천 > 원주8경 > 제6경 영원산성,www.wonju.go.kr/tour/contents.do?key=4085
제7경 용소막성당,원주시 관광포털 > 추천 > 원주8경 > 제7경 용소막성당,www.wonju.go.kr/tour/contents.do?key=4086
제8경 미륵불상,원주시 관광포털 > 추천 > 원주8경 > 제8경 미륵불상,www.wonju.go.kr/tour/contents.do?key=4087
동화마을수목원,원주시 관광포털 > 추천 > 동화마을수목원,www.wonju.go.kr/tour/contents.do?key=5041
치악산,원주시 관광포털 > 추천 > 치악산,www.wonju.go.kr/tour/contents.do?key=4072
전통시장투어,원주시 관광포털 > 추천 > 전통시장투어,www.wonju.go.kr/tour/selectTnResrceDataListT.do?key=4073&si2=55
추천여행코스,원주시 관광포털 > 추천 > 추천여행코스,www.wonju.go.kr/tour/selectRecomendTour.do?key=4074
여행후기,원주시 관광포털 > 추천 > 여행이야기 > 여행후기,www.wonju.go.kr/tour/selectBbsNttList.do?bbsNo=1050&key=4815
Q&A,원주시 관광포털 > 추천 > 여행이야기 > Q&A,www.wonju.go.kr/tour/selectBbsNttList.do?bbsNo=1049&key=4816
홍보 동영상,원주시 관광포털 > 추천 > 홍보 동영상,www.wonju.go.kr/tour/selectBbsNttList.do?bbsNo=1058&key=4979
명소,원주시 관광포털 > 테마 > 명소,www.wonju.go.kr/tour/selectTnResrceDataListT.do?key=4088
음식,원주시 관광포털 > 테마 > 음식,www.wonju.go.kr/tour/selectTnResrceDataListT.do?key=4089
숙박,원주시 관광포털 > 테마 > 숙박,www.wonju.go.kr/tour/contents.do?key=5144
레저·힐링,원주시 관광포털 > 테마 > 레저·힐링,www.wonju.go.kr/tour/selectTnResrceDataListT.do?key=4091
문화재,원주시 관광포털 > 테마 > 문화재,www.wonju.go.kr/tour/selectTnResrceDataListT.do?key=4092
축제,원주시 관광포털 > 테마 > 축제,www.wonju.go.kr/tour/selectTnResrceDataListT.do?key=4093&ad1=3&tc10=Y
문화행사,원주시 관광포털 > 테마 > 문화행사,https://www.wonju.go.kr/www/selectCtyhllCldrList.do?key=213&searchLgd=1&
VR 투어,원주시 관광포털 > 테마 > VR 투어,www.wonju.go.kr/tour/contents.do?key=5046
걷기길,원주시 관광포털 > 걷기길,www.wonju.go.kr/trail/index.do
원주굽이길,원주시 관광포털 > 걷기길 > 원주굽이길,http://www.gubigil.kr/
치악산 둘레길,원주시 관광포털 > 걷기길 > 치악산 둘레길,http://chiaktrail.kr/
기타 원주 걷기길,원주시 관광포털 > 걷기길 > 기타 원주 걷기길,www.wonju.go.kr/trail/selectTnWlkStretListU.do?key=4660&
단체관광객 유치 여행사 인센티브,원주시 관광포털 > 인센티브 지원 > 단체관광객 유치 여행사 인센티브,www.wonju.go.kr/tour/contents.do?key=5111
MICE 인센티브,원주시 관광포털 > 인센티브 지원 > MICE 인센티브,www.wonju.go.kr/tour/contents.do?key=5112
사이트맵,원주시 관광포털 > 홈페이지가이드 > 사이트맵,www.wonju.go.kr/tour/sitemap.do?key=4671
